"PL_PAL_ShortDescription","PL_PAL_Identification","PL_ADD_Address1","PL_ADD_Address2","PL_ADD_Zip","PL_ADD_City","PL_ADD_Latitude","PL_ADD_Longitude"
"GARE DE ACHERES VILLE","PCG00012","Gare De Acheres Ville","16 rue Jean Moulin","78260","ACHERES","48.970206","2.077659"
"Decathlon Herblay","PCF00003","Decathlon Herblay","12 Mail des Copistes","95220","Herblay","49.000258","2.187043"
"GARE DE ARPAJON","PCG00022","Gare De Arpajon","1 Avenue Aristide Briand","91290","ARPAJON","48.586115","2.241093"
"GARE DE MELUN","PCG00025","Gare De Melun","2 PLACE GALLIENI","77000","MELUN","48.527847","2.654364"
"GARE DE DOURDAN","PCG00024","Gare De Dourdan","4 AVENUE DU DOCTEUR JULES BALS","91410","DOURDAN","48.533560","2.009303"
"GARE DE CORBEIL ESSONNES","PCG00023","Gare De Corbeil Essonnes","5 Place de la Gare","91100","CORBEIL-ESSONNES","48.613894","2.473834"
"GARE DE MONTREUIL","PCG00004","Gare De Montreuil","68 Bis Rue de la bonne aventure","78000","VERSAILLES","48.806660","2.151597"
"GARE DE ARGENTEUIL","PCG00050","Gare De Argenteuil","33 BOULEVARD KARL MARX","95100","ARGENTEUIL","48.946750","2.256866"
"GARE DE GENNEVILLIERS","PCG00029","Gare De Gennevilliers","35 avenue du Général de Gaulle","92230","GENNEVILLIERS","48.933675","2.307028"
"GARE DE LE VAL D'OR","PCG00030","Gare De Le Val D'Or","3 rue Perrier","92210","SAINT-CLOUD","48.856678","2.216304"
"GARE DE LES GRESILLONS","PCG00031","Gare De Les Grésillons","241 avenue des Grésillons","92230","GENNEVILLIERS","48.920196","2.314173"
"GARE DE VAUCRESSON","PCG00034","Gare De Vaucresson","Place de Charles de Gaulle","92420","VAUCRESSON","48.836796","2.152467"
"GARE DE ROISSY EN BRIE","PCG00019","Gare De Roissy En Brie","Place de la gare ","77680","ROISSY-EN-BRIE","48.795530","2.649883"
"GARE DE LIEUSAINT MOISSY","PCG00036","Gare De Lieusaint Moissy","Avenue de l'Europe","77127","LIEUSAINT","48.628542","2.568846"
"GARE DE DAMMARTIN JUILLY SAINT-MARD","PCG00020","Gare De Dammartin Juilly Saint-Mard","1 place de la Gare","77230","SAINT-MARD","49.032787","2.698756"
"GARE DE LES VALLEES","PCG00035","Gare De Les Vallées","Place de la gare des Vallées","92250","LA GARENNE-COLOMBES","48.913439","2.257898"
"GARE DE BOUGIVAL","PCG00010","Gare De Bougival","Place Maréchal Leclerc","78170","LA CELLE-SAINT-CLOUD","48.854067","2.132300"
"GARE DE LA CELLE SAINT-CLOUD","PCG00011","Gare De La Celle Saint-Cloud","Place Pierre Corneille","78170","LA CELLE-SAINT-CLOUD","48.842716","2.138449"
"GARE DE ROSNY BOIS PERRIER","PCG00039","Gare De Rosny Bois Perrier","1 Rue Jacques Offenbach","93110","ROSNY-SOUS-BOIS","48.882675","2.481496"
"GARE DE EPINAY VILLETANEUSE","PCG00048","Gare De Epinay Villetaneuse","Route de Saint Leu","93800","EPINAY-SUR-SEINE","48.958196","2.329264"
"GARE DE ASNIERES SUR SEINE","PCG00059-161107","Gare De Asnieres Sur Seine","98 rue Denis Papin","92600","ASNIERES-SUR-SEINE","48.906152","2.282544"
"Estaçao Central do metro","70310970","Estação Central do metrô","Subsolo","70310500","Brasilia","-15.793777","-47.884302"
"GARE DE MITRY CLAYE","PCG00021","Gare De Mitry Claye","Rue Jean Caille","77290","MITRY-MORY","48.975989","2.642857"
